,address,balance,publicKey,username,delegate
122,10062535190096068371S,37334306,2fa6bdf8c8eccc1a05102a077c01ad478bd2afb218d4beb39dc4701c3bdac6f4,,2675385658327038858S
123,4871397904628122204S,38226704,5b0e14b5ea7fdf6edbd8caa2c37e0360b504722b2fe0e897494a6f7fa66b38e1,,2675385658327038858S
124,2107882677455032172S,40937380,7e0bd1a55245180690791e776f0deff52786ce00c88db611d195e22ed9cc9eba,,2675385658327038858S
125,5433553141546120186S,46057008,e5413d1908c4887fe4225e9a82160a7ac3b71a47a75fc2ddc60675393fedce25,,2675385658327038858S
126,6983976910541404931S,50660278,de19282ffb374876d35577c9c7b8f100e3a01ed79292938351ce411fe2754673,,2675385658327038858S
127,8248662113692348963S,53992825,a2b477d20b7ed4f9653df68bc09a37e7f9704e98acb519eb1b56fbff81155118,,2675385658327038858S
128,4299193774304627537S,57847368,899abc72d21177b00bf88331b9378c0f76d734b5b093663351639f77df845d97,raven_mm,2675385658327038858S
129,3626178308668697358S,60000000,8ef09f846f57eb71a214f88062068646653371bc2482b80a7df5672009811ebc,nori,2675385658327038858S
130,4575623428626607784S,61500085,4e1a3fe85f2ab1f326b9bbe9522f66d1c20861ebac2299d337dc2221523f566a,,2675385658327038858S
131,9986239545473819385S,62343396,801bdceeb3834c5728a84d048edac49a65661512ad0ee83fb990207a2c7a39ba,e1ghtspace_voting,2675385658327038858S
132,71023383196146753S,66241872,2a495f5e290684cdd65b309046729849b587b3fe9d4d55d798ffc91df87ffb1e,,2675385658327038858S
133,7133500475625307747S,70000000,50c6989a9fe6c75c5b243989300ee683ef8f625e0971040946ccd0bd71f801d9,,2675385658327038858S
134,14702467036727372922S,71464412,15dc7ab7cbf2c3972496635b5dde745957afa9cac2d8f3d44b6ecbd55179152c,guinew2,2675385658327038858S
135,13249226411369101852S,74880135,9c3fa4404cbef243a28af201e5eee874986b6312a23cbca7650c37fc205c4a3a,,2675385658327038858S
136,2962189776005162488S,79374598,b9526cb0cf331faf6d43c224f00385b0da3b221053b7c6328152002e024d1cc9,,2675385658327038858S
137,7580131569253289824S,80000000,869567c4f05d22089620bd6272eb9e83e146ec52c94988187257efacd7d5ea86,seatripstest,2675385658327038858S
138,7413518598518546441S,82516785,1a3c3a2bd6afa7fafbf8fb3e80fbb38a2326ae99c41d2fbcfd7f41fbc18f985c,,2675385658327038858S
139,16074371901910759275S,85952747,f81a12f64aed8d79d8133d9823019e01429241b27da14aad2e4f1f85002dee75,,2675385658327038858S
140,14004250559794481535S,87872237,cfcbeff75706ead6be12f0778e7956f48cf7d2c0e9063b38e82f1f1520b2bfe1,expansio,2675385658327038858S
141,8055673149974863572S,91889022,a7f269e1ad3d18d7f80a073fcb5acbf243a77d6b538843b46d6fcdeb21bd0dbf,,2675385658327038858S
142,10778671664897050962S,94957068,88db5ca0735b50f0ae121ee31de3b83596767235056f2711c88b5ddf9271a1b3,,2675385658327038858S
143,12614357324900414612S,97000000,3d8bb82d2dd787ca94aea2394f919e1bf5f703094b46b3ec5401de58fec8085b,,2675385658327038858S
144,9275907613074538790S,99000000,69f2642b1b4f63f207594500c2fedf7687b8a2be8f83e252cc8d32f13799dca9,,2675385658327038858S
145,13027394670025868549S,99542661,c8463232feefcc78dd1bd23dea9d5443604cec72b528ccdf9456b6f6e065f0d2,,2675385658327038858S
146,13563569226461746896S,107977858,3d1bef67e594c93680f4b96abe0d3a07d3edc1f2171baf5a467e0781562caf1a,,2675385658327038858S
147,61800475831569831S,108725937,a27f411cfeca86ff1ca9869eec3a12d38477b8fc18edd05af05d13f6a79fbcd4,pnwdrew,2675385658327038858S
148,17848651981887408386S,112826189,79b0a4ac44cba3959387f63d87111d699b960fc1e8ea90ec4456e79a84080fdf,,2675385658327038858S
149,2233908704276513927S,117549300,60ef299409c0899e75099086904e7e2dce8a10e93a3fff5bb944e7c55ecf2a8d,,2675385658327038858S
150,15435125347423712135S,119512512,6dc9d0184d66fbee0fda5b87011a343f56eff0892a63495458b65d6e99607383,pool_wariner3_voting,2675385658327038858S
151,15987950774006526159S,119798487,4c69293a20ed8d710c231db47ff8fc437266c75b26ee3624a912b61af68ebf16,pool_wariner2_voting,2675385658327038858S
152,18194136227532525216S,125852349,78240964f6ab0344363790877f8bc49e9a37a51ca3a16570101610a3b21d1c57,,2675385658327038858S
153,8586825088047268156S,135824246,c19f5d64da98cf843e357eab85726cfcb23f88fae30734a8b9138edbecf63ce7,,2675385658327038858S
154,5964925067721950725S,144969906,73797a8f0b5daa07c19124eba2ce34d178e407b76a0bc78aa5b0c72003c71321,,2675385658327038858S
155,3037529847360707052S,152298711,ac44526827d7488934c193a508c587235a550caf9f983640b8e0b2cc9338dafc,,2675385658327038858S
156,5005709220550032357S,152654203,17cca76d2138cb021d1887fe4f4366ba704bbb9a85e3f150cd128e8dc22a75f5,,2675385658327038858S
157,13989868538845892861S,152762548,02119c5493a5dcf23b512d317f5f86f3517ce7b5ff0925882c5e7058f9854b0c,,2675385658327038858S
158,40034563516441201S,152791542,e9631e8dc7adc0985839e46f3e077d9f76a9c432bb1e9d64e5fde754de0dd99c,,2675385658327038858S
159,8779864208306149283S,152793069,add86f6fe60ab9d9a6655e1929598e54260bfc6f55de47cfc0af1e96d8255f55,,2675385658327038858S
160,8679185994263349081S,152793069,d78171a8d4314562608ecd5d71212bbbe81485dc2d8ab025f959841ee17bb9e4,,2675385658327038858S
161,15829371236098467202S,152793069,04f55543423cca428e07529d5b27af082af92aae2d64f69162daee845bd05943,,2675385658327038858S
162,7506940828781558843S,152793069,a21056a4e7bf2908c090a2b86319dde5a95a5a06128a31a0ad877b4e874eb5bd,,2675385658327038858S
163,7423639421518259235S,152793069,9ccbecc8eab27a8e5cdb19c28c4adc1f35a8be376964ac7eb642f9b9b24edbc6,,2675385658327038858S
164,12638828233304078971S,152793069,c1008292040f47a70128363a4cca77008df7383463eb06e61d1c7c59782ecdb1,,2675385658327038858S
165,2460974585142981360S,152868575,a49655eb2b61a8a560cfd5f8e8205c069876ded116d89c87e7ca940b9eb63b64,,2675385658327038858S
166,5736700109170906927S,158570811,f5a61e3d18d555d49da5b9c5a2f183f7cfb545efa71abda24d82ece2e05a53bd,,2675385658327038858S
167,10714390199288598539S,161186821,ef3489c6a16f142399d1a507b22001268c3eb65696636c3ef4dcc8c4a3da2398,,2675385658327038858S
168,3631924791128351671S,172968334,ac1672fe2abb434d4996bfb87d2f559a638fd4b02944b4bf88baf7ed081a9271,,2675385658327038858S
169,2249441536247217797S,173868960,0fba282c3653b5751df52b537fdfda06d361c7a179afaafb30486547d2e9eee8,theone,2675385658327038858S
170,13629239798084191250S,181089164,2cb0c35af37aa2b8198068f4fedc32dea624e09f73300d18632eccde99404b2c,alt!f5,2675385658327038858S
171,3136212156902193574S,185297388,e805405fd82caf078334118ddd8260f5a335909813feb33604ffab894c80dcdd,,2675385658327038858S
172,5476868952712264143S,191429668,c01ecc1221126b9d12b7439ce7dd6f160cacce87da4f421009b682f9f6ddab97,shiftmobile,2675385658327038858S
173,3681964908384143351S,204911442,c615bc3a3fed1685a87c602e2295d394192ce0b3ebb879f794ea3931cd9b068a,,2675385658327038858S
174,10787545250762816979S,205000000,b6401f9637166f97a0c58a013e88a2318e1c137e31ce492555609a660fef75b2,,2675385658327038858S
175,15367855744897013750S,206051025,81201bc51e4bc2644a0b037abaad83948796d9367dc5f8ce052480bc8da358c4,,2675385658327038858S
176,392794638822605996S,219406257,b562d4116a867121827910b87517bfb7d8ea7f7c5e3da2c7c519485e593886c3,,2675385658327038858S
177,1882655293553451363S,233879661,471bad28073057099b9cd5a111c1bfab4e5355cfa86d2ae7261f4ee1040a00bc,lamar,2675385658327038858S
178,17575077089315147350S,241995935,5661662d7aa8c84bc787f2b57b7a3122b13ee5244e4b20bbe0994c4af5705d2c,subz3r0,2675385658327038858S
179,17414216110421751415S,241995935,1a8432f292e9b9356052ab7339260e9f646544533400d4ce705ab0c1115bb379,ppan,2675385658327038858S
180,16059358455871335801S,252995935,8e4a88bcf937147b1eaacd9518948491ec79391ceab8e2790b3078f96881487b,shift_delegate_paris,2675385658327038858S
181,10616238559319900285S,272118218,c92571a039948ce263ed8a6ad7ec882db5e401b3be7976fc9ae3b265381b2cee,,2675385658327038858S
182,5449454790065333523S,301023471,11d530d476bbcf897940165914b8869e55499601df9b89ab39a1aba993b9b4da,ebola2,2675385658327038858S
183,4688284640569202996S,310840901,88540fc623c354a84901beca7f59dac98008fff540524928ded3188b05080a63,,2675385658327038858S
184,14232035957254104488S,316674222,f521cbfd94578b2a1e2f50c6d77b95e32517cbb7b847274369408b29798487e4,bikeynab2,2675385658327038858S
185,7725849364280821971S,317815600,5a50dfd56ff3815d8ebefb77f5b723cd02708683c25e9156693edfdd712ce3ae,davideg,2675385658327038858S
186,14169025190911348242S,319456935,8ac7c5b8a15e70dc90a55ba11a74a9765c2f728e1ffd895529d16282edd04cb9,,2675385658327038858S
187,17125014493952839425S,320563216,4bf34e369609755d5154ef9c9c9bafb117e03c5ca72bed5b0d35f189d60033fa,alelosbrigia,2675385658327038858S
188,13004549190303394008S,342188148,7cde45c858af96749063b299d397e07e5aa938d9c8276b6da6aeb597e7357b3a,,2675385658327038858S
189,9902379632988329432S,357573227,1e850904150053eec986d67cb4aa9d65e9059f7755451888b49597f53250d5f9,bitseedmike,2675385658327038858S
190,6768441213154283335S,399000000,1b01c23992124fed73ed57d30ed7a0279c14c4ae0644a9ac7cbabe807762fadf,,2675385658327038858S
191,12862541327011424315S,400000000,8e4bd0d42cf49bf8cc6d89b661615a8724e20c68512d6181cc8574c81ac8d452,,2675385658327038858S
192,1305426352879107252S,443135476,2eae9cb59fd470a835992cbeb4fe2b62c26cb51b8733f837de1cd8aa9bd50ad6,vrlc92,2675385658327038858S
193,3875880439064308758S,443135478,289c8305a17f5c47b4336b0c62aaa8cd3e62d65fefcee26d8497cca8ad4186ce,gigiua,2675385658327038858S
194,14569116791565205623S,443135533,dcafaef5c2deb698e26606f834075490edf1993f27c5ea5a54929312896316ff,cc002,2675385658327038858S
195,15802658987146954077S,445630944,224b0a8c20aabe1330798ba1acbfb03490fb9f35380b75f1fb76028bdea31e8f,godfather,2675385658327038858S
196,11544362265061049382S,450650963,d6168081272b4e8421a63fe7aab395c74b9cd9e1fbe4864db880f4a92de116fa,superdelegate,2675385658327038858S
197,12652780598582308478S,451848412,69a8e9aec66660c00fc3445a051138256d2299baf202dd98355a382fc03bb203,swminer902,2675385658327038858S
198,8170186098985018995S,453333377,7b2e7df476da4aa6fba7fa790b856477c8d74d2cc789ad0531c4904b3b8958d7,kiashaan_win_node,2675385658327038858S
199,17611431206003190742S,455063277,e5578d6e444c3c2914920d6d404825f1f4cdb6bdceebec49bc1b46940f7ef52e,vo1d,2675385658327038858S
200,12047938523767013177S,461329405,310b92000caa46292e0eb3db441e8992b34a20cfbbe5cdcadd6935783a1f338d,,2675385658327038858S
201,1207104167701355841S,461443940,7334c1f6b0023d5b634162c06835f1d78979e1c8b53f1c8c0e823ade71c1f985,,2675385658327038858S
202,13807015370010940589S,461842175,c1a9a0d309971f4c3cc200c60f62d3b35a15609d73b21a969f4bf056726cd257,,2675385658327038858S
203,11767102850961502877S,465661267,813cba8eff372597d98e73a8f3e5b6cb627c9ca5483ebdb2e472705602cf67df,neurosonic,2675385658327038858S
204,8608501552091746000S,476996775,18d1b236b98b02c464bbe057077c7dea32b4f519f573b4b2de57ea0634e64a7c,redsn0w.1,2675385658327038858S
205,4932083804392903083S,494224664,9da8c18ebc7c7d68c81c8d810f5ddb61b6c5934e345ca7b4ba99db407a1e3f0b,shift_test,2675385658327038858S
206,3127520863986180051S,513135475,0acff798a69ece4554b87084325acdc4173e92b725efa6b9be779ecd63c7823f,dnny1802,2675385658327038858S
207,6019441103871211615S,517590859,d4cdc241b8565e798db4d09088efba2ff05d388654b6733f89cc277c7d5b1cd4,psyx80,2675385658327038858S
208,18016259454945127616S,532339999,eab37fbeba38bf6651e43d433b9b99a8ceebf5b70e4fcae42d7e267545b41f3a,cosmos_vote,2675385658327038858S
209,206731614034794595S,533135475,22140c871dfdc530420726e63116cac803ab1768282fcbcdcba6146398766e4c,shift_pool,2675385658327038858S
210,17429014155969058037S,544620621,fd8f1c6cedb5c19bcdaa57d3cd1adb88fd5fe016e79ed2677ad75910bd1bc806,samuel_paulsun_2,2675385658327038858S
211,755560795199195056S,589000000,c15224d07c7bea2e65115095770bd68772c8dbd6c22ce6e67698ed1c972bc3c6,darval,2675385658327038858S
212,5056479278962172277S,592605485,3ea28b5dc149b77725eda5043cc1d5210c8d1f544c98b41f13558a29e7c00bc0,distro,2675385658327038858S
213,16412148246374883503S,597314265,eec4ae647133025a4c411cbcc53906a96e50952d3fef885e7956ce0492f72113,,2675385658327038858S
214,17619406925539291084S,600000141,f898093d817d06216651a3ae28eab41f46d2aab4569a93870cc7aa0b101a49d3,5thdimension,2675385658327038858S
215,8777339335417566371S,633509466,38013554f3fde8d0def4ab65e3b30aed215994df16d9a97da3cfc74d66b60381,hef911,2675385658327038858S
216,15987514189026265418S,643135475,402c500010fc73e53b104f5a2704f97d921a9e54f35b6d35b1b5f41b1cdc8eda,alexlab51,2675385658327038858S
217,12265567418841427540S,650938476,315b9e93ae614c920f671380b40b0f621c470974bab4a861157a767b2c3226e5,mindelements,2675385658327038858S
218,15377027693575950907S,659027891,d82302db7d597fba026c169c9cd133d87fd72b32ce2fcc5891ff559596a5907a,,2675385658327038858S
219,10785018568872575553S,675235660,c0b0fe49823571f2cd2c568501891529cecfa1c9f412e2d896db16e1b9917277,,2675385658327038858S
220,8066719458343654728S,686784454,f6be8630777efe70ac69f01df128d95e9c6ba7807e78c6cd5c49f4280294eb6f,shiftkarma,2675385658327038858S
221,8064549799648106826S,687410232,8df5eb52dea81b2a0df35df15ed9e25427f6e6a145aedef8d3ab2eaf60aadbbf,,2675385658327038858S
222,6878048882933846436S,733344029,2b82a6664001fee475801ccfed6938017aa15d3c3aa6c74fa6a1264d854d5af8,,2675385658327038858S
223,4886185562602385534S,750803580,31867302c7a8b8485b6abaa33def93e2334075c58270ae9a588887346c535558,prometroidl,2675385658327038858S
224,17403385413419279158S,799000000,a07a3e6efb1b10d1536256666f67d99444310053ffa43123aadd134d64f992a0,,2675385658327038858S
225,5381511647279450931S,799000000,23c6e1210e15e83790cc100305c521e95cd3a8028c6d269c548ae82c1bb2bb71,,2675385658327038858S
226,1730804619294104703S,852284763,9f4c8fc3e09a1e431ddcf97390bbc5391f85f09efd19a92938fb8944923614e9,,2675385658327038858S
227,5944266750950036157S,886470926,52da40ddf87131f137c8e78b862c9ea87d1179e4f0d0d9d7eb97b1eb7f8d4d1d,,2675385658327038858S
228,3898839290424801656S,998144146,ae3a22cac4b9022e8c699adbbc47aebbefdef2ae88223ebaa002a7c8250c7c6b,,2675385658327038858S
229,17851873654818657825S,1033639691,4603a673a0bd2cdabf7e6bb94c83a925e51d44040b29a50557c10eb735e2429b,domgravel,2675385658327038858S
230,17281689472665427274S,1201730004,6284666ee3d48481e6d7177ceda73a89d31add56ad99db2a9adba9518ec96b8e,,2675385658327038858S
231,8051547065796048576S,1313069306,a3ed66c5a2cf28bdaa315c897ef65b3dfb8ac183abe658b5d2c9078fc0e5fdef,atreides,2675385658327038858S
232,1734069277324983528S,1351891866,e3234023b2d29b947330ec0d7147fdd2dce5cebff48a3f4bb60dca85d8b4659b,blink_pool,2675385658327038858S
233,13019658345640362659S,1443135475,fdc1fac63d68780bfcec5af10ae3025ff774df70cf01fdbffe851a94fe8979e8,,2675385658327038858S
234,5045008709835863321S,1445478986,2afe39a6b42837147d61f2a10b7d0f849013d33825013621c02e359a06e76373,,2675385658327038858S
235,7662668868188083563S,1557190612,e05dc12463fe12a429d6c708ee3955fb32f80326e84c6f8cde7044bcb66b9ba6,,2675385658327038858S
236,675233942278744977S,1606475182,8309f68659de10cd215d820db52aefdbbb2dd9f0acb219d9e462b245c899d15e,,2675385658327038858S
237,552374453027688590S,1698000000,c8fcbe4ded3ed38d977c2343865d71a7a450ea61358c6feac4ce182d13f8ebdf,,2675385658327038858S
238,17688865274499765764S,1872237617,b5becd54c1d7f547cb1349f0a52de8aa13818c6bcb1802950e5da01415539e9f,gr33ndrag0n,2675385658327038858S
239,3536915875110313527S,1926028340,87b0d23a6ceb023469a76663156bb7bf364b5828dd772aef205421da2a92afbf,,2675385658327038858S
240,15226870964334981532S,2006022618,f04c3f4c7f18ea6397608ecf9540487cc0a6931eda6745653d51215d6d4cd6b7,,2675385658327038858S
241,13427719778023804154S,2033146341,48bb59a40463a6a38f23138b6059f993f2e32f55b30b0e4f6358a43fd391b8c6,,2675385658327038858S
242,6034599310597963285S,2100606387,e507e48f82994cc7f4e153feccc1d5ece1259f3472d641ce441f07717fd3fcf1,frandiazc,2675385658327038858S
243,10563353608244480137S,2292145383,7942654576a70d2f54840b7398b9491275fae7259da0806ea4148084292929e3,shiftspider2,2675385658327038858S
244,2585432234924509436S,2301392755,2bc15d70824978fbbd972a1058688b5e52f45caceca218419ea4c1155a2b3cb1,,2675385658327038858S
245,8779745755250905207S,2533135475,d461d302faa0d08d1e2e2e28a71a61ae1f42f8ef1d5d222bfe43aabf10e94395,hippob,2675385658327038858S
246,17108967603984890198S,2623179864,dfee3cbb54cf5a0f81d55d5f438739291e8e28c227671d2c1c4442fc86fdb455,,2675385658327038858S
247,6439663173115744136S,2973534503,7e65ab83226df3d834508833b671c6573f6c06dc77ba6b66f788e8775f390c18,erfeanor,2675385658327038858S
248,10144909537938459289S,3254335010,841078eda030471c43a8ad8fd09c53a0a349e3b3ed57094c9f03bf9bf9880293,,2675385658327038858S
249,9822747702030676910S,3293591169,6a435241b4dca69ddd64e2ab17bd5a44170fcc9919e4030e59ea83fd0a1a1362,,2675385658327038858S
250,6865789547844440686S,3328622838,b1e559a2015b124bb2bf3a321fb68504ce7294ebfcf95c17581deb1b48be78b9,,2675385658327038858S
251,3359101448749248715S,3832135475,1630938cf990359a55999400711e97c51c3aa4134f3a64f3276569f4218be0c2,,2675385658327038858S
252,11955349693672965803S,3841080313,7f797a34b5e5dad96c8e702c716fc2e047e98f3124505fb67275d683b1bb77e1,,2675385658327038858S
253,3585360947143173954S,3890000000,b8d5ed6062a673a8c2138f9dbe744e161f374a5786517e3f6ab7866e9191277f,arjan,2675385658327038858S
254,13228518305401135767S,3900280536,8df007fee92082bb0edf3cd40b966e98fec7f96fb73893845d9b98d8d29601e4,casp3r,2675385658327038858S
255,15772914505295099127S,4109854909,d6875ee767a21dca2d534e032b1a1f260dfd662c5a1110069a5553e94f45835e,,2675385658327038858S
256,17188390779521827971S,4116600904,439e37758dcc62ff8ccab55b07dc543c092603199f5cc29d959f811e568f93a9,pro11,2675385658327038858S
257,5382498994366039732S,4275570653,b070edcc5f7f106d6412ec913e864971f112482d40a2627c39b949ae29f15d47,,2675385658327038858S
258,13933522232989679612S,4522554437,d9f7928a460edd8165c3bd0b2179d65247d39bc0990734eaa95380da9ee9d16b,ampsicora,2675385658327038858S
259,18034441249901247065S,4542340532,1b38bf213cbfbb7458ec1f3de69ea251f2853e0ac7440c3a0892b8b7ec0777bf,,2675385658327038858S
260,16168685798364651460S,4662656744,f737253703fc13584bcfd56d176cf2e5eba60388d643faed144bba73fc00d1ad,starlord_voting,2675385658327038858S
261,17214014197235025347S,4999619081,b50f10a9a17efa19e153a6c0dc31848b3bcf539e58561d973ade2f86216d3e6e,,2675385658327038858S
262,16613104023261046418S,5008471615,1fce5cc1fa0190e5d2a87c7440e91c19ef8bff649816e4206d0c1e47504a62da,,2675385658327038858S
263,2970985508073392298S,5865065160,65cd42a200835a2a2283e27e08b0e46645d051c4761179e2001b5a93c8a8e55e,,2675385658327038858S
264,12614689244490247223S,6282799470,55ee9dd22d1c818de90e08d4d1e0de189dcc7e6c8a5fd84e3166e470ddc44ad2,,2675385658327038858S
265,17920703499994572092S,6603051057,25ad785deb0008af22b9735cfd575eac14c93b26f02b157f4ab892c44eabd124,heisenberg2,2675385658327038858S
266,17799300357190616645S,6973135475,05997557b91688a2fc4727700cebd2617fd1a96f2da97b968951c23faab5a48e,,2675385658327038858S
267,6958510448455373943S,7088591515,8f4b15231d94fe8b2c700841561339db18e10131c5b11adb94b964bba8394484,,2675385658327038858S
268,11383390428861948883S,7154533449,1fbec6163f88a37ab0afab211e4ea39baa179bd74bcbe55a784519854d1231ce,,2675385658327038858S
269,5468042836406799372S,7526399081,7c903891cc57f2c5b8d5c7959886fca8c79ca3633ee00ff304ead1de2992f0c4,,2675385658327038858S
270,16218000064187802141S,8258481974,fe44628ef2b555127540c293306b1b4826e1438ddbcce4b96a9d4fe979492ce4,cryptopools,2675385658327038858S
271,17570631340802264834S,8691067831,d6fff56e0fa618bed88e80eb9686b27f978c88dd8747e5103df0c289142e590a,lordshare,2675385658327038858S
272,12137934182339645185S,9473565969,803ad26d11bbb3ab44244f3031839949434dccb8d2bd450daa1afcac7978467b,iloveshift,2675385658327038858S
273,9449227620415936880S,9699000000,4863cb9d796a8a3afe98f4925bd78b2d03ce707faa5c9b44b062921057c72d08,,2675385658327038858S
274,13544281668198256650S,9889000000,26cfdb3e2617224dd5121f88773e60ac0e739775b6dfe5245b40ef20f1bebc70,,2675385658327038858S
275,13176424283352237690S,9890000000,bfca17ac6d698fc8dcf143a54a58517dfed3beb16fd9ff053040ec4fea8fa99f,,2675385658327038858S
276,8946581160703205226S,9935519472,72efc0743d4a452c4216476f71124a64b06e104115cc3d3a94daeaf57bde7bf9,,2675385658327038858S
277,8846362633606532585S,10344313250,381544642079318602651d108776581e3d44998154a7059238fe6f5879e61b45,,2675385658327038858S
278,6580513949496795093S,10375629266,c14c6ed0af6f737c59ebd9b66712920031b6837547b0e818c1e1c926c02d4ed0,,2675385658327038858S
279,14924303746750699013S,10382720078,c87ca04be64c44d698bde8de51ffa6ccb540abaadba688f751dbdbf9d9e6cd62,mrwhite,2675385658327038858S
280,11551139740909348025S,10433435264,5ed9dab7e7ad1c87ce96b53b17558284a8c4262c48a8a7b9f6bcd53b8163f649,,2675385658327038858S
281,2135167307218581161S,10718214989,203812f86e3d75a165c98c0789e18b0dc262bb8479dd0d4954cff4cf8bfc4b44,sirius,2675385658327038858S
282,4490460469280866127S,10867707467,cde7b092e60ec430744dc544b6e6cc0aceb91324b6fe6a3189b57707148e6133,roicoin,2675385658327038858S
